id	identifier	zh_name	en_name	category	cost	short_effect	zh_effect
163	wacan-berry	烛木果	Wacan Berry	Type protection	80	Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的电属性招式 攻击时，能令其威力减弱。
164	rindo-berry	罗子果	Rindo Berry	Type protection	80	Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的草属性招式 攻击时，能令其威力减弱。
165	yache-berry	番荔果	Yache Berry	Type protection	80	Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的冰属性招式 攻击时，能令其威力减弱。
166	chople-berry	莲蒲果	Chople Berry	Type protection	80	Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的格斗属性招式 攻击时，能令其威力减弱。
167	kebia-berry	通通果	Kebia Berry	Type protection	80	Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的毒属性招式 攻击时，能令其威力减弱。
168	shuca-berry	腰木果	Shuca Berry	Type protection	80	Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的地面属性招式 攻击时，能令其威力减弱。
169	coba-berry	棱瓜果	Coba Berry	Type protection	80	Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的飞行属性招式 攻击时，能令其威力减弱。
170	payapa-berry	福禄果	Payapa Berry	Type protection	80	Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的超能力属性招式 攻击时，能令其威力减弱。
171	tanga-berry	扁樱果	Tanga Berry	Type protection	80	Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的虫属性招式 攻击时，能令其威力减弱。
172	charti-berry	草蚕果	Charti Berry	Type protection	80	Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的岩石属性招式 攻击时，能令其威力减弱。
173	kasib-berry	佛柑果	Kasib Berry	Type protection	80	Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的幽灵属性招式 攻击时，能令其威力减弱。
174	haban-berry	莓榴果	Haban Berry	Type protection	80	Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的龙属性招式 攻击时，能令其威力减弱。
175	colbur-berry	刺耳果	Colbur Berry	Type protection	80	Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的恶属性招式 攻击时，能令其威力减弱。
176	babiri-berry	霹霹果	Babiri Berry	Type protection	80	Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.	让宝可梦携带后， 在受到效果绝佳的钢属性招式 攻击时，能令其威力减弱。
177	chilan-berry	灯浆果	Chilan Berry	Type protection	80	Held: Consumed when struck by a Normal-type attack to halve the damage.	让宝可梦携带后， 在受到一般属性招式攻击时， 能令其威力减弱。
178	liechi-berry	枝荔果	Liechi Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost Attack.	让宝可梦携带后，危机时， 自己的攻击就会提高。
179	ganlon-berry	龙睛果	Ganlon Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost Defense.	让宝可梦携带后，危机时， 自己的防御就会提高。
180	salac-berry	沙鳞果	Salac Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost Speed.	让宝可梦携带后，危机时， 自己的速度就会提高。
181	petaya-berry	龙火果	Petaya Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost Special Attack.	让宝可梦携带后，危机时， 自己的特攻就会提高。
182	apicot-berry	杏仔果	Apicot Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost Special Defense.	让宝可梦携带后，危机时， 自己的特防就会提高。
183	lansat-berry	兰萨果	Lansat Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.	让宝可梦携带后，危机时， 攻击会变得容易击中要害。
184	starf-berry	星桃果	Starf Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost a random stat by two stages.	让宝可梦携带后，危机时， 某一项能力就会大幅提高。
185	enigma-berry	谜芝果	Enigma Berry	Other	80	Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.	让宝可梦携带后， 在受到效果绝佳的招式攻击时， 可以回复ＨＰ。
186	micle-berry	奇秘果	Micle Berry	In a pinch	80	Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy)	让宝可梦携带后，危机时， 招式的命中率仅会提高１次。
187	custap-berry	释陀果	Custap Berry	In a pinch	80	Held: Consumed at 1/4 max HP when using a move to go first.	让宝可梦携带后，危机时， 行动仅会变快１次。
188	jaboca-berry	嘉珍果	Jaboca Berry	Other	80	Held: Consumed to deal 1/8 attacker’s max HP when holder is struck by a physical attack.	让宝可梦携带后， 在受到物理招式攻击时， 能给予对手伤害。
189	rowap-berry	雾莲果	Rowap Berry	Other	80	Held: Consumed to deal 1/8 attacker’s max HP when holder is struck by a special attack.	让宝可梦携带后， 在受到特殊招式攻击时， 能给予对手伤害。
190	bright-powder	光粉	Bright Powder	Held items	4000	Held: Increases the holder’s evasion by 1/9 (11 1/9%).	闪闪发光的粉末。 携带后，光芒会迷惑对手， 从而使其招式变得不容易命中。
191	white-herb	白色香草	White Herb	Held items	4000	Held: Resets all lowered stats to normal at end of turn. Consumed after use.	当携带它的宝可梦能力降低时， 仅能回到之前的状态１次。
192	macho-brace	强制锻炼器	Macho Brace	Effort training	3000	Held: Holder gains double effort values from battles, but has halved Speed in battle.	又硬又重的锻炼器。 虽然携带后速度会降低， 但会比平时更容易茁壮成长。
193	exp-share	学习装置	Exp. Share	Training	0	Held: Half the experience from a battle is split between Pokémon holding this item.	打开开关后， 能让同行的所有宝可梦 获得经验值的装置。
194	quick-claw	先制之爪	Quick Claw	Held items	4000	Held: Holder has a 3/16 (18.75%) chance to move first.	又轻又尖锐的爪子。 携带后，有时能比对手 先一步行动。
195	soothe-bell	安抚之铃	Soothe Bell	Training	4000	Held: Doubles the happiness earned by the holder.	音色悦耳的铃铛。 让携带它的宝可梦清心怡神， 变得容易和训练家亲密。
196	mental-herb	心灵香草	Mental Herb	Held items	4000	Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body.	当携带它的宝可梦 无法自由使出招式时， 仅会回复１次。
197	choice-band	讲究头带	Choice Band	Choice	4000	Held: Increases Attack by 50%, but restricts the holder to only one move.	有点讲究的头带。 虽然携带后攻击会提高， 但只能使出相同的招式。
198	kings-rock	王者之证	King’s Rock	Held items	5000	Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.	携带后进行攻击， 在造成伤害时， 有时会让对手畏缩。
199	silver-powder	银粉	Silver Powder	Type enhancement	1000	Held: Bug-Type moves from holder do 20% more damage.	散发着银色光辉的粉末。 携带后，虫属性的 招式威力就会提高。
200	amulet-coin	护符金币	Amulet Coin	Training	10000	Held: Doubles the money earned from a battle. Does not stack with Luck Incense.	只要携带它的宝可梦 在战斗时出场一次， 就能获得２倍金钱。
201	cleanse-tag	洁净之符	Cleanse Tag	Training	5000	Prevents wild encounters of level lower than your party’s lead Pokémon.	让排在最前面的宝可梦携带后， 野生宝可梦就会不容易出现。
202	soul-dew	心之水滴	Soul Dew	Species-specific	0	Raises Latias and Latios’s Special Attack and Special Defense by 50%.	让拉帝欧斯或拉帝亚斯携带后， 超能力和龙属性的招式威力 就会提高的神奇珠子。
203	deep-sea-tooth	深海之牙	Deep Sea Tooth	Species-specific	2000	Doubles Clamperl’s Special Attack. Traded on a Clamperl: Holder evolves into Huntail.	让珍珠贝携带后， 特攻就会提高的牙齿。 散发着闪亮的银光。
204	deep-sea-scale	深海鳞片	Deep Sea Scale	Species-specific	2000	Doubles Clamperl’s Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.	让珍珠贝携带后， 特防就会提高的鳞片。 散发着淡淡的粉红色光芒。
205	smoke-ball	烟雾球	Smoke Ball	Held items	4000	Held: Allows the Holder to escape from any wild battle.	携带它的宝可梦在和 野生宝可梦的战斗中 绝对可以逃走。
206	everstone	不变之石	Everstone	Training	3000	Held: Prevents level-based evolution from occuring.	携带后，宝可梦在此期间 不会进化的神奇石头。
207	focus-band	气势头带	Focus Band	Held items	4000	Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.	携带后，即便受到 可能会导致濒死的招式， 有时也能仅以１ＨＰ撑过去。
208	lucky-egg	幸运蛋	Lucky Egg	Training	10000	Held: Increases EXP earned in battle by 50%.	满载着幸福的蛋。 携带它的宝可梦获得的 经验值会少量增加。
209	scope-lens	焦点镜	Scope Lens	Held items	4000	Held: Raises the holder’s critical hit ratio by one stage.	能看见弱点的镜片。 携带它的宝可梦的招式 会变得容易击中要害。
210	metal-coat	金属膜	Metal Coat	Type enhancement	2000	Held: Steel-Type moves from holder do 20% more damage.	特殊的金属膜。 携带后，钢属性的 招式威力就会提高。
211	leftovers	吃剩的东西	Leftovers	Held items	4000	Held: Restores 1/16 (6.25%) holder’s max HP at the end of each turn.	携带后，宝可梦的ＨＰ 会在战斗期间缓缓回复。
212	dragon-scale	龙之鳞片	Dragon Scale	Evolution	2000	Traded on a Seadra: Holder evolves into Kingdra.	又硬又坚固的鳞片。 龙属性宝可梦有时会携带它。
213	light-ball	电气球	Light Ball	Species-specific	1000	Doubles Pikachu’s Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.	让皮卡丘携带后， 攻击和特攻的威力 就会提高的神奇之球。
214	soft-sand	柔软沙子	Soft Sand	Type enhancement	1000	Held: Ground-Type moves from holder do 20% more damage.	手感细腻的沙子。 携带后，地面属性的 招式威力就会提高。
215	hard-stone	硬石头	Hard Stone	Type enhancement	1000	Held: Rock-Type moves from holder do 20% more damage.	绝对不会裂开的石头。 携带后，岩石属性的 招式威力就会提高。
216	miracle-seed	奇迹种子	Miracle Seed	Type enhancement	1000	Held: Grass-Type moves from holder do 20% more damage.	孕育生命的种子。 携带后，草属性的 招式威力就会提高。
217	black-glasses	黑色眼镜	Black Glasses	Type enhancement	1000	Held: Dark-Type moves from holder do 20% more damage.	看上去很奇怪的眼镜。 携带后，恶属性的 招式威力就会提高。
218	black-belt	黑带	Black Belt	Type enhancement	1000	Held: Fighting-Type moves from holder do 20% more damage.	能振作精神的带子。 携带后，格斗属性的 招式威力就会提高。
219	magnet	磁铁	Magnet	Type enhancement	1000	Held: Electric-Type moves from holder do 20% more damage.	强力的磁铁。 携带后，电属性的 招式威力就会提高。
220	mystic-water	神秘水滴	Mystic Water	Type enhancement	1000	Held: Water-Type moves from holder do 20% more damage.	水滴形状的宝石。 携带后，水属性的 招式威力就会提高。
221	sharp-beak	锐利鸟嘴	Sharp Beak	Type enhancement	1000	Held: Flying-Type moves from holder do 20% more damage.	又长又尖的鸟嘴。 携带后，飞行属性的 招式威力就会提高。
222	poison-barb	毒针	Poison Barb	Type enhancement	1000	Held: Poison-Type moves from holder do 20% more damage.	有毒的小针。 携带后，毒属性的 招式威力就会提高。
223	never-melt-ice	不融冰	Never-Melt Ice	Type enhancement	1000	Held: Ice-Type moves from holder do 20% more damage.	能隔绝热量的冰。 携带后，冰属性的 招式威力就会提高。
224	spell-tag	诅咒之符	Spell Tag	Type enhancement	1000	Held: Ghost-Type moves from holder do 20% more damage.	古怪可怕的咒符。 携带后，幽灵属性的 招式威力就会提高。
225	twisted-spoon	弯曲的汤匙	Twisted Spoon	Type enhancement	1000	Held: Psychic-Type moves from holder do 20% more damage.	注入了念力的汤匙。 携带后，超能力属性的 招式威力就会提高。
226	charcoal	木炭	Charcoal	Type enhancement	1000	Held: Fire-Type moves from holder do 20% more damage.	焚烧用的燃料。 携带后，火属性的 招式威力就会提高。
227	dragon-fang	龙之牙	Dragon Fang	Type enhancement	1000	Held: Dragon-Type moves from holder do 20% more damage.	坚硬锐利的牙齿。 携带后，龙属性的 招式威力就会提高。
228	silk-scarf	丝绸围巾	Silk Scarf	Type enhancement	1000	Held: Normal-Type moves from holder do 20% more damage.	手感不错的围巾。 携带后，一般属性的 招式威力就会提高。
229	up-grade	升级数据	Upgrade	Evolution	2000	Traded on a Porygon: Holder evolves into Porygon2.	内部储存了各种信息的透明机器。 西尔佛公司制造。
230	shell-bell	贝壳之铃	Shell Bell	Held items	4000	Held: Holder receives 1/8 of the damage it deals when attacking.	当携带它的宝可梦 攻击对手并造成伤害时， 能回复少量ＨＰ。
231	sea-incense	海潮薰香	Sea Incense	Type enhancement	2000	Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.	有着神奇香气的薰香。 携带后，水属性的 招式威力就会提高。
232	lax-incense	悠闲薰香	Lax Incense	Held items	5000	Held: Holder’s evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.	携带后，薰香的 神奇香气会迷惑对手， 其招式会变得不容易命中。
233	lucky-punch	吉利拳	Lucky Punch	Species-specific	1000	Raises Chansey’s critical hit ratio by two stages.	能带来幸运的拳套。 让吉利蛋携带后， 招式会变得容易击中要害。
